Chad,17203787,0.00029,0.00028,0.00001
Russia,145899956,0.00804,0.00725,0.00014
Paraguay,7270717,0.04822,0.03964,0.00124
Yemen,30882462,0.00022,0.00011,0.00004
Senegal,17462688,0.00237,0.00229,0.00007
Sweden,10196161,0.02465,0.00049,0.00045
Cabo Verde,565346,0.05355,0.05009,0.00047
Kiribati,122470,0.00002,0.00000,0.00000
Guyana,792481,0.02123,0.01826,0.00048
Philippines,111913102,0.01087,0.01021,0.00019
Eritrea,3633796,0.00112,0.00105,0.00000
Djibouti,1010377,0.01140,0.01124,0.00015
Singapore,5925135,0.01046,0.01037,0.00001
Malaysia,33015425,0.01692,0.01453,0.00008
Fiji,906570,0.00040,0.00018,0.00000
Turkey,85484777,0.06125,0.05959,0.00055
Malawi,19953296,0.00172,0.00163,0.00006
Iraq,41750703,0.02859,0.02652,0.00039
Germany,83975691,0.00958,0.00904,0.00020
Comoros,899658,0.00431,0.00413,0.00016
Cambodia,17080063,0.00169,0.00125,0.00001
Afghanistan,40374668,0.00174,0.00142,0.00007
Ivory Coast,27451054,0.00172,0.00170,0.00001
Jordan,10322902,0.07117,0.06916,0.00091
Maldives,546203,0.11517,0.07000,0.00029
Rwanda,13466174,0.00200,0.00190,0.00003
Sudan,45532863,0.00078,0.00061,0.00006
France,65520147,0.08949,0.00506,0.00166
Greece,10340571,0.03872,0.00907,0.00116
Sri Lanka,21547096,0.00838,0.00689,0.00006
Taiwan,23877855,0.00033,0.00005,0.00000
Dominica,72167,0.00261,0.00252,0.00000
Algeria,45061896,0.00285,0.00198,0.00008
Togo,8596357,0.00156,0.00147,0.00001
Equatorial Guinea,1477483,0.00577,0.00551,0.00008
Slovakia,5460937,0.07131,0.04675,0.00226
Macau,663998,0.00008,0.00007,0.00000
Argentina,45847428,0.08141,0.07173,0.00168
Belgium,11658404,0.04421,0.00267,0.00214
Angola,34566172,0.00099,0.00080,0.00002
San Marino,34017,0.14960,0.14684,0.00265
Qatar,2962425,0.07326,0.07180,0.00019
Ecuador,18033738,0.02355,0.02032,0.00114
Lesotho,2169209,0.00499,0.00297,0.00015
Albania,2869700,0.04610,0.04503,0.00085
Madagascar,28860961,0.00143,0.00139,0.00003
Finland,5553102,0.01661,0.00828,0.00017
Ghana,32120718,0.00292,0.00286,0.00002
Nicaragua,6748507,0.00109,0.00063,0.00003
Peru,33587011,0.02615,0.05650,0.00088
Benin,12644580,0.00064,0.00062,0.00001
Sierra Leone,8238113,0.00050,0.00038,0.00001
India,1401310563,0.00408,0.00381,0.00007
Bahamas,399068,0.02943,0.02667,0.00057
Belarus,9438767,0.04160,0.04062,0.00030
Kuwait,4366698,0.07024,0.06676,0.00040
Malta,443646,0.06881,0.06772,0.00094
Timor-Leste,1358744,0.00497,0.00288,0.00001
Sao Tome and Principe,225954,0.01038,0.01014,0.00016
Somalia,16634297,0.00088,0.00040,0.00005
Marshall Islands,59610,0.00007,0.00007,0.00000
Chile,19275294,0.02957,0.02775,0.00080
Puerto Rico,2806918,0.00000,0.00000,0.00000
Tajikistan,9873338,0.00135,0.00134,0.00001
Martinique,374314,0.00009,0.00000,0.00000
Cayman Islands,66497,0.00002,0.00000,0.00000
Croatia,4067642,0.08751,0.08491,0.00197
Burundi,12469663,0.00038,0.00006,0.00000
Nigeria,214507696,0.00078,0.00073,0.00001
Andorra,77355,0.17702,0.17343,0.00164
Bolivia,11927124,0.03075,0.02443,0.00121
Gabon,2310507,0.01055,0.00943,0.00006
Italy,60320493,0.01383,0.01274,0.00056
Suriname,594817,0.02440,0.01926,0.00048
Lithuania,2670680,0.10255,0.09523,0.00159
Norway,5492570,0.02270,0.00328,0.00014
Spain,46736811,0.01529,0.00322,0.00058
Cuba,11312548,0.01238,0.01175,0.00008
Mauritania,4848828,0.00401,0.00380,0.00010
Denmark,5825798,0.04796,0.04525,0.00043
Central African Republic,4971922,0.00143,0.00134,0.00002
Niger,25677816,0.00021,0.00020,0.00001
Bangladesh,167247491,0.00477,0.00441,0.00008
Barbados,287927,0.01393,0.01362,0.00016
US,334058426,0.01134,0.01916,0.00019
Iran,85627052,0.03379,0.02832,0.00093
Ireland,5008554,0.05089,0.00466,0.00099
Liechtenstein,38250,0.07864,0.07658,0.00152
Thailand,70039646,0.00217,0.00038,0.00001
Laos,7439920,0.00026,0.00019,0.00000
Bhutan,784855,0.00204,0.00158,0.00000
Monaco,39511,0.06335,0.06234,0.00081
Morocco,37599544,0.01380,0.01348,0.00024
Panama,4420589,0.08538,0.08252,0.00144
Hong Kong,7585785,0.00156,0.00153,0.00003
Ukraine,43312073,0.00476,0.00378,0.00012
Venezuela,28842889,0.00802,0.00740,0.00009
Israel,8868656,0.09465,0.09387,0.00072
Iceland,344646,0.01902,0.01879,0.00008
Saint Barthelemy,9907,0.00030,0.00000,0.00000
Holy See,800,0.03375,0.03375,0.00000
Saint Kitts and Nevis,53544,0.00127,0.00084,0.00000
Oman,5296006,0.04037,0.03721,0.00043
South Korea,51331264,0.00273,0.00254,0.00004
Gibraltar,33698,0.00003,0.00003,0.00000
Palestine,5293440,0.00000,0.00000,0.00000
Cyprus,1220541,0.05929,0.03200,0.00029
Uruguay,3491832,0.08253,0.07054,0.00120
Mexico,131046075,0.00502,0.01469,0.00027
Aruba,107204,0.00004,0.00000,0.00000
Georgia,3973946,0.08628,0.08179,0.00119
Estonia,1324323,0.09773,0.09282,0.00094
Montenegro,628053,0.15853,0.15459,0.00252
Zimbabwe,15229891,0.00256,0.00240,0.00010
Indonesia,278037263,0.00651,0.00597,0.00018
Mongolia,3359247,0.01686,0.01468,0.00008
Guatemala,18446417,0.01376,0.01260,0.00044
Guam,171041,0.00002,0.00000,0.00000
Azerbaijan,10272912,0.03249,0.03150,0.00048
Libya,7007887,0.02637,0.02444,0.00044
Grenada,113237,0.00142,0.00141,0.00001
Armenia,2970929,0.07491,0.07161,0.00149
Tunisia,12003225,0.02861,0.02510,0.00105
Liberia,5252834,0.00041,0.00039,0.00002
Honduras,10156097,0.02333,0.00831,0.00062
Syria,18646187,0.00131,0.00116,0.00009
UK,68401087,0.05717,0.00006,0.00164
Trinidad and Tobago,1405746,0.01636,0.00945,0.00033
Saudi Arabia,35659227,0.01257,0.01208,0.00021
Uganda,47942521,0.00096,0.00091,0.00001
Namibia,2614500,0.02091,0.01922,0.00031
Mayotte,283394,0.00002,0.00000,0.00000
Switzerland,8752564,0.07918,0.03629,0.00123
Zambia,19238117,0.00493,0.00476,0.00007
Ethiopia,119590501,0.00227,0.00198,0.00003
Latvia,1855735,0.07163,0.06754,0.00128
Jamaica,2980575,0.01623,0.00834,0.00032
United Arab Emirates,10051436,0.05644,0.05442,0.00017
Brunei,443903,0.00054,0.00051,0.00001
South Sudan,11493450,0.00093,0.00091,0.00001
Saint Lucia,184831,0.02724,0.02582,0.00042
Guinea,13709966,0.00169,0.00153,0.00001
Canada,38261228,0.01404,0.01347,0.00029
Seychelles,99124,0.11243,0.10024,0.00040
North Macedonia,2082011,0.07457,0.07083,0.00259
Uzbekistan,34207969,0.00292,0.00279,0.00002
Kyrgyzstan,6689349,0.01558,0.01465,0.00027
Samoa,201011,0.00001,0.00001,0.00000
Czech Republic,10732960,0.15475,0.15070,0.00280
Mozambique,32696683,0.00216,0.00213,0.00003
Brazil,214832901,0.01515,0.01348,0.00052
Belize,409224,0.03126,0.03025,0.00079
Kenya,55703607,0.00306,0.00208,0.00006
Gambia,2528326,0.00237,0.00228,0.00007
Lebanon,6752766,0.07999,0.07669,0.00114
Slovenia,2078724,0.12195,0.11769,0.00210
Antigua and Barbuda,99162,0.01270,0.01216,0.00042
Dominican Republic,11015774,0.02637,0.02168,0.00033
Japan,125802521,0.00127,0.00121,0.00002
Tanzania,62539416,0.00001,0.00000,0.00000
Botswana,2423535,0.02219,0.02083,0.00034
Luxembourg,640202,0.10907,0.10621,0.00127
New Zealand,4883704,0.00055,0.00054,0.00001
Bosnia and Herzegovina,3251612,0.06269,0.05358,0.00283
Greenland,56877,0.00002,0.00000,0.00000
Haiti,11623799,0.00122,0.00108,0.00003
Poland,37764461,0.07603,0.06982,0.00195
Portugal,10150252,0.08357,0.07966,0.00168
Australia,25959987,0.00079,0.00076,0.00003
Cameroon,27624492,0.00286,0.00128,0.00005
Papua New Guinea,9220306,0.00171,0.00161,0.00002
Romania,19062255,0.05652,0.05448,0.00159
Guinea-Bissau,2043512,0.00184,0.00172,0.00003
Bulgaria,6866274,0.06091,0.05540,0.00257
Solomon Islands,714126,0.00003,0.00003,0.00000
Nepal,29960704,0.01847,0.01451,0.00024
Austria,9065484,0.07106,0.06924,0.00117
Egypt,105390688,0.00247,0.00182,0.00014
Costa Rica,5165346,0.06081,0.04685,0.00077
Kazakhstan,19123199,0.02294,0.02104,0.00018
El Salvador,6537250,0.01120,0.01046,0.00034
Serbia,8674489,0.08209,0.00179,0.00079
South Africa,60474550,0.02743,0.02570,0.00093
Burkina Faso,21847968,0.00061,0.00061,0.00001
Bahrain,1775452,0.13275,0.11601,0.00053
Micronesia,116901,0.00001,0.00001,0.00000
Colombia,51504213,0.01847,0.01687,0.00036
Hungary,9618215,0.08359,0.07197,0.00309
Pakistan,227724796,0.00149,0.00136,0.00004
Vatican City,800,0.00125,0.00000,0.00000
Vanuatu,318774,0.00001,0.00001,0.00000
Mauritius,1274295,0.00107,0.00093,0.00001
Moldova,4017984,0.06349,0.06156,0.00152
Mainland China,1447065329,0.00005,0.00004,0.00000
Vietnam,98655916,0.00007,0.00003,0.00000
Netherlands,17195298,0.02277,0.00070,0.00036
Mali,21212426,0.00067,0.00046,0.00002
